File,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1MB,8,4,3,3,2,2,2,2,3,2,2,2,3,4,6,6
2MB,17,9,7,6,5,5,4,3,4,6,6,9,10,13,18,16
4MB,35,19,14,13,11,10,9,10,10,15,12,19,22,21,23,22
9MB,70,40,30,27,22,21,22,19,20,27,27,29,39,32,36,39
18MB,140,82,62,54,51,44,44,41,40,47,43,44,60,61,57,68
36MB,281,154,116,107,91,81,86,85,82,88,85,85,108,122,120,101
72MB,565,311,236,201,185,173,172,179,162,204,180,198,203,235,243,213
144MB,1151,636,482,411,367,350,369,366,322,402,383,380,376,451,398,446
288MB,2313,1307,982,850,738,701,774,793,721,771,739,743,752,799,912,738
577MB,4636,2611,1970,1644,1467,1395,1342,1598,1370,1650,1489,1494,1485,1561,1910,1487
1155MB,9318,5262,4056,3418,3179,2882,3203,3120,3528,3441,2962,2976,3082,3283,3500,3373
