Test 	Machine	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12
1MB	2-core	8 	10 	9 	10 	13 	14 	16 	20	null	null	null	null
2MB	2-core	14 	14 	19 	18 	22 	26 	24 	27	null	null	null	null
4MB	2-core	33 	28 	36 	38 	47 	44 	49 	54	null	null	null	null
9MB	2-core	67 	54 	71 	69 	69 	78 	77 	83	null	null	null	null
18MB	2-core	135 	114 	139 	134 	138 	144 	148 	154	null	null	null	null
36MB	2-core	276	232	278	254	259	271	276	298	null	null	null	null
72MB	2-core	611	480	525	507	517	554	568	608	null	null	null	null
1MB	4-core	7	3	3	4	7	7	8	9	10	11	16	13
2MB	4-core	15	7	7	9	11	13	14	16	19	15	20	21
4MB	4-core	32	16	16	14	21	23	27	25	30	31	36	36
9MB	4-core	66	33	34	29	39	43	47	49	59	60	63	62
18MB	4-core	135	71	73	63	80	83	83	86	103	98	99	107
36MB	4-core	268	141	140	118	156	149	150	149	173	171	169	175
72MB	4-core	547	292	289	253	299	300	286	287	359	326	334	349
1MB	i5-12g	4	2	1	1	1	0	0	0	0	0	0	0
2MB	i5-12g	8	4	3	2	2	2	1	1	1	1	1	2
4MB	i5-12g	17	9	7	6	6	5	4	4	3	3	3	3
9MB	i5-12g	37	20	17	14	13	12	10	7	7	7	7	7
18MB	i5-12g	78	43	36	30	29	27	23	18	18	17	26	19
36MB	i5-12g	156	83	67	56	51	47	44	40	38	36	40	42
72MB	i5-12g	330     182     152     131     123     111     112     93      111     107     112     109
144MB	i5-12g	660     378     312     266     249     237     214     194     218     222     226     218
288MB	i5-12g	1318    761     624     541     494     436     423     419     423     461     386     439
577MB	i5-12g	2640    1529    1249    1064    965     904     835     831     855     718     886     865
1155MB	i5-12g	5275    3094    2509    2140    1958    1813    1649    1750    1636    1672    1674    1670
