Pcount	1MB	2MB	4MB	9MB	18MB	36MB	72MB
1	8	14	33	67	135	276	611
2	10	14	28	54	114	232	480
3	9	19	36	71	139	278	525
4	10	18	38	69	134	254	507
5	13	22	47	69	138	259	517
6	14	26	44	78	144	271	554
7	16	24	49	77	148	276	568
8	20	27	54	83	154	298	608

Pcount	1MB	2MB	4MB	9MB	18MB	36MB	72MB
1	7	15	32	66	135	268	547
2	3	7	16	33	71	141	292
3	3	7	16	34	73	140	289
4	4	9	14	29	63	118	253
5	7	11	21	39	80	156	299
6	7	13	23	43	83	149	300
7	8	14	27	47	83	150	286
8	9	16	25	49	86	149	287
9	10.0	19.0	30.0	59.0	103.0	173.0	359.0
10	11.0	15.0	31.0	60.0	98.0	171.0	326.0
11	16.0	20.0	36.0	63.0	99.0	169.0	334.0
12	13.0	21.0	36.0	62.0	107.0	175.0	349.0

Pcount	1MB	2MB	4MB	9MB	18MB	36MB	72MB	144MB	288MB	577MB	1155MB
1	4	8	17	37	78	156	330	660	1318	2640	5275
2	2	4	9	20	43	83	182	378	761	1529	3094
3	1	3	7	17	36	67	152	312	624	1249	2509
4	1	2	6	14	30	56	131	266	541	1064	2140
5	1	2	6	13	29	51	123	249	494	965	1958
6	0	2	5	12	27	47	111	237	436	904	1813
7	0	1	4	10	23	44	112	214	423	835	1649
8	0	1	4	7	18	40	93	194	419	831	1750
9	0.0	1.0	3.0	7.0	18.0	38.0	111.0	218.0	423.0	855.0	1636.0
10	0.0	1.0	3.0	7.0	17.0	36.0	107.0	222.0	461.0	718.0	1672.0
11	0.0	1.0	3.0	7.0	26.0	40.0	112.0	226.0	386.0	886.0	1674.0
12	0.0	2.0	3.0	7.0	19.0	42.0	109.0	218.0	439.0	865.0	1670.0

